"TransactionNo","Date","AccountNo","TransactionType","Amount","SGD_Amount","Currency","index","d_balance"
3745,"21-Jul-2020",1,"Spend",-0.04,-0.06,"USD",13,1491.59962554449
3746,"21-Jul-2020",1,"Spend",-0.39,-0.56,"USD",13,1491.04237208714
3747,"21-Jul-2020",1,"Spend",-13.3,-18.87,"USD",13,1472.17645243802
3748,"21-Jul-2020",1,"Spend",-1.94,-2.75,"USD",13,1469.42782053757
3749,"22-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",14,1464.72656365917
3750,"22-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",14,1460.02530678077
3751,"22-Jul-2020",1,"Spend",-1,-0.2,"CNY",14,1459.82446853025
3752,"22-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",14,1455.12321165185
3753,"22-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",14,1450.42195477345
3754,"22-Jul-2020",1,"Spend",-1.23,-1.74,"USD",14,1448.68115268686
3755,"22-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",14,1443.97989580846
3756,"22-Jul-2020",1,"Spend",-5.84,-1.18,"CNY",14,1442.80332549009
3757,"22-Jul-2020",1,"Spend",-15.85,-3.19,"CNY",14,1439.61069867687
25,"23-Jul-2020",1,"Withdraw",-25.0181470861094,-25.0181470861094,"SGD",15,4497.18102233552
3758,"23-Jul-2020",1,"Spend",-55.12,-11.12,"CNY",15,1428.48812413518
3759,"23-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",15,1423.78686725678
3760,"23-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",15,1419.08561037838
3761,"23-Jul-2020",1,"Spend",-0.25,-0.05,"CNY",15,1419.03482743689
3762,"23-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",15,1414.33357055849
26,"24-Jul-2020",1,"Withdraw",-0.109603726715465,-0.109603726715465,"SGD",16,4497.0714186088
27,"24-Jul-2020",1,"Withdraw",-7.84472501530743,-7.84472501530743,"SGD",16,4489.22669359349
3763,"24-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",16,1409.63231368009
3764,"24-Jul-2020",1,"Spend",-3.39,-0.68,"CNY",16,1408.95003837265
28,"27-Jul-2020",1,"Withdraw",-5.74771708686274,-5.74771708686274,"SGD",17,4483.47897650663
3765,"27-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",17,1404.24878149425
3766,"27-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",17,1399.54752461585
3767,"27-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",17,1394.84626773745
3768,"27-Jul-2020",1,"Spend",-16.71,-3.36,"CNY",17,1391.48961794959
3769,"27-Jul-2020",1,"Spend",-0.2,-0.04,"CNY",17,1391.44856798148
3770,"27-Jul-2020",1,"Spend",-1.99,-0.4,"CNY",17,1391.04834934674
3771,"27-Jul-2020",1,"Spend",-0.02,0,"CNY",17,1391.04526501339
29,"28-Jul-2020",1,"Withdraw",-1.55509326582484,-1.55509326582484,"SGD",18,4481.92388324081
30,"28-Jul-2020",1,"Withdraw",-0.13651556369026,-0.13651556369026,"SGD",18,4481.78736767712
3772,"28-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",18,1386.34400813499
3773,"28-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",18,1381.64275125659
3774,"28-Jul-2020",1,"Spend",-1.25,-1.75,"USD",18,1379.88785832643
3775,"28-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",18,1375.18660144803
3776,"28-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",18,1370.48534456963
31,"29-Jul-2020",1,"Withdraw",-0.551312789377121,-0.551312789377121,"SGD",19,4481.23605488774
32,"29-Jul-2020",1,"Withdraw",-406.436175400921,-406.436175400921,"SGD",19,4074.79987948682
3777,"29-Jul-2020",1,"Spend",-3.85,-0.77,"CNY",19,1369.71151654811
3778,"29-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",19,1365.01025966971
3779,"29-Jul-2020",1,"Spend",-0.11,-0.15,"USD",19,1364.86104233691
3780,"29-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",19,1360.15978545851
3781,"29-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",19,1355.45852858011
3782,"29-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",19,1350.75727170171
33,"30-Jul-2020",1,"Withdraw",-0.38918211679073,-0.38918211679073,"SGD",20,4074.41069737003
34,"30-Jul-2020",1,"Withdraw",-0.0607123707501955,-0.0607123707501955,"SGD",20,4074.34998499928
35,"30-Jul-2020",1,"Withdraw",-0.29228149667741,-0.29228149667741,"SGD",20,4074.0577035026
36,"30-Jul-2020",1,"Withdraw",-0.00872570653347477,-0.00872570653347477,"SGD",20,4074.04897779607
3783,"30-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",20,1346.05601482331
3784,"30-Jul-2020",1,"Spend",-8.16,-11.45,"USD",20,1334.60495470606
3785,"30-Jul-2020",1,"Spend",-1.24,-0.25,"CNY",20,1334.35736176023
3786,"30-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",20,1329.65610488183
3787,"30-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",20,1324.95484800343
3788,"30-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",20,1320.25359112503
37,"31-Jul-2020",1,"Withdraw",-0.0346870747141771,-0.0346870747141771,"SGD",21,4074.01429072135
38,"31-Jul-2020",1,"Withdraw",-1.20156790511453,-1.20156790511453,"SGD",21,4072.81272281624
39,"31-Jul-2020",1,"Withdraw",-0.0294396933116324,-0.0294396933116324,"SGD",21,4072.78328312293
40,"31-Jul-2020",1,"Withdraw",-5.7773390964496,-5.7773390964496,"SGD",21,4067.00594402648
3789,"31-Jul-2020",1,"Spend",-0.01,0,"CNY",21,1320.25180482686
3790,"31-Jul-2020",1,"Spend",-2.09,-2.92,"USD",21,1317.33278668778
3791,"31-Jul-2020",1,"Spend",-2.37,-0.47,"CNY",21,1316.85975739768
3792,"31-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",21,1312.15850051928
3793,"31-Jul-2020",1,"Spend",-0.64,-0.13,"CNY",21,1312.0303143315
3794,"31-Jul-2020",1,"Spend",-0.04,-0.01,"CNY",21,1312.02166902482
3795,"31-Jul-2020",1,"Spend",-1.41,-1.97,"USD",21,1310.0504083856
41,"31-Jul-2020",1,"Interest",1.70814249649112,1.70814249649112,"SGD",22,4068.71408652297
42,"3-Aug-2020",1,"Withdraw",-0.0323903559221115,-0.0323903559221115,"SGD",22,4068.68169616705
43,"3-Aug-2020",1,"Withdraw",-0.184986910535188,-0.184986910535188,"SGD",22,4068.49670925651
3796,"3-Aug-2020",1,"Spend",-0.38,-0.08,"CNY",22,1309.97448272364
3797,"3-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",22,1305.27322584524
3798,"3-Aug-2020",1,"Spend",-0.13,-0.03,"CNY",22,1305.2471741122
3799,"3-Aug-2020",1,"Spend",-1.1,-1.54,"USD",22,1303.70295880651
3800,"3-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",22,1299.00170192811
44,"4-Aug-2020",1,"Withdraw",-0.41679636192099,-0.41679636192099,"SGD",23,4068.07991289459
45,"4-Aug-2020",1,"Withdraw",-1502.71020784635,-1502.71020784635,"SGD",23,2565.36970504824
46,"4-Aug-2020",1,"Withdraw",-29.0374155062885,-29.0374155062885,"SGD",23,2536.33228954195
47,"4-Aug-2020",1,"Withdraw",-64.0491455094279,-64.0491455094279,"SGD",23,2472.28314403252
3801,"4-Aug-2020",1,"Spend",-0.02,0,"CNY",23,1298.99805537573
3802,"4-Aug-2020",1,"Spend",-0.19,-0.04,"CNY",23,1298.96059797388
3803,"4-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",23,1294.25934109548
3804,"4-Aug-2020",1,"Spend",-0.41,-0.58,"USD",23,1293.67794946216
48,"5-Aug-2020",1,"Withdraw",-2.57617265612281,-2.57617265612281,"SGD",24,2469.7069713764
49,"5-Aug-2020",1,"Withdraw",-2.94667879504357,-2.94667879504357,"SGD",24,2466.76029258135
3805,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1288.97669258376
3806,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1284.27543570536
3807,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1279.57417882696
3808,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1274.87292194856
3809,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1270.17166507016
3810,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1265.47040819176
3811,"5-Aug-2020",1,"Spend",-1.24,-0.25,"CNY",24,1265.22044659851
3812,"5-Aug-2020",1,"Spend",-0.24,-0.05,"CNY",24,1265.17156842543
3813,"5-Aug-2020",1,"Spend",-19.07,-26.67,"USD",24,1238.49971965933
3814,"5-Aug-2020",1,"Spend",-1.2,-0.24,"CNY",24,1238.25918641639
3815,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1233.55792953799
3816,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1228.85667265959
3817,"5-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",24,1224.15541578119
50,"6-Aug-2020",1,"Deposit",1846.32998425514,1846.32998425514,"SGD",25,4313.09027683649
51,"6-Aug-2020",1,"Withdraw",-2.67866200236217,-2.67866200236217,"SGD",25,4310.41161483412
52,"6-Aug-2020",1,"Withdraw",-3.44879700860534,-3.44879700860534,"SGD",25,4306.96281782552
3818,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1219.45415890279
3819,"6-Aug-2020",1,"Spend",-0.03,-0.04,"USD",25,1219.41743727445
3820,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1214.71618039605
3821,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1210.01492351765
3822,"6-Aug-2020",1,"Spend",-4.38,-0.88,"CNY",25,1209.13407315598
3823,"6-Aug-2020",1,"Spend",-24.38,-34.06,"USD",25,1175.07512723995
3824,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1170.37387036155
3825,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1165.67261348315
3826,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1160.97135660475
3827,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1156.27009972635
3828,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1151.56884284795
3829,"6-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",25,1146.86758596955
53,"7-Aug-2020",1,"Withdraw",-0.00828308722022835,-0.00828308722022835,"SGD",26,4306.9545347383
54,"7-Aug-2020",1,"Withdraw",-0.236317344017002,-0.236317344017002,"SGD",26,4306.71821739428
55,"7-Aug-2020",1,"Withdraw",-0.058413406628511,-0.058413406628511,"SGD",26,4306.65980398765
3830,"7-Aug-2020",1,"Spend",-6.25,-1.26,"CNY",26,1145.60990917707
3831,"7-Aug-2020",1,"Spend",-0.26,-0.05,"CNY",26,1145.55837072481
3832,"7-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",26,1140.85711384641
3833,"7-Aug-2020",1,"Spend",-5.31,-1.07,"CNY",26,1139.78938569125
3834,"7-Aug-2020",1,"Spend",-0.21,-0.04,"CNY",26,1139.74694073269
56,"10-Aug-2020",1,"Withdraw",-1.04381483799325,-1.04381483799325,"SGD",27,4305.61598914966
3835,"10-Aug-2020",1,"Spend",-3.77,-5.29,"USD",27,1134.45296961366
3836,"10-Aug-2020",1,"Spend",-0.36,-0.5,"USD",27,1133.94888136248
3837,"10-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",27,1129.24762448408
3838,"10-Aug-2020",1,"Spend",-22.34,-31.37,"USD",27,1097.87614255833
3839,"11-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",28,1093.17488567993
3840,"11-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",28,1088.47362880153
3841,"11-Aug-2020",1,"Spend",-6.72,-9.41,"USD",28,1079.05964735865
3842,"11-Aug-2020",1,"Spend",-3.85,-0.78,"CNY",28,1078.28345334002
3843,"11-Aug-2020",1,"Spend",-0.44,-0.61,"USD",28,1077.66882711369
3844,"11-Aug-2020",1,"Spend",-0.45,-0.63,"USD",28,1077.03862880821
3845,"11-Aug-2020",1,"Spend",-0.52,-0.11,"CNY",28,1076.93338709165
3846,"11-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",28,1072.23213021325
3847,"11-Aug-2020",1,"Spend",-4.31,-6.03,"USD",28,1066.1999526882
57,"12-Aug-2020",1,"Withdraw",-1.55321341947122,-1.55321341947122,"SGD",29,4304.06277573019
58,"12-Aug-2020",1,"Withdraw",-0.00444493384427376,-0.00444493384427376,"SGD",29,4304.05833079634
59,"12-Aug-2020",1,"Withdraw",-193.175469912751,-193.175469912751,"SGD",29,4110.88286088359
3848,"12-Aug-2020",1,"Spend",-39.62,-8,"CNY",29,1058.20191138767
3849,"12-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",29,1053.50065450927
3850,"12-Aug-2020",1,"Spend",-72.96,-102.33,"USD",29,951.166106536771
3851,"12-Aug-2020",1,"Spend",-24.44,-4.93,"CNY",29,946.23204122024
3852,"13-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",30,941.530784341837
3853,"13-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",30,936.829527463434
3854,"13-Aug-2020",1,"Spend",-1.1,-0.22,"CNY",30,936.608260068315
3855,"13-Aug-2020",1,"Spend",-0.2,-0.04,"CNY",30,936.567100149162
3856,"13-Aug-2020",1,"Spend",-0.69,-0.97,"USD",30,935.597239685775
60,"14-Aug-2020",1,"Withdraw",-1.4834891237203,-1.4834891237203,"SGD",31,4109.39937175987
61,"14-Aug-2020",1,"Withdraw",-0.0220006196819018,-0.0220006196819018,"SGD",31,4109.37737114019
3857,"14-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",31,930.895982807372
3858,"14-Aug-2020",1,"Spend",-8.15,-11.41,"USD",31,919.481499081117
62,"17-Aug-2020",1,"Withdraw",-9.37356758824197,-9.37356758824197,"SGD",32,4100.00380355195
63,"17-Aug-2020",1,"Withdraw",-2.52812369782855,-2.52812369782855,"SGD",32,4097.47567985412
64,"17-Aug-2020",1,"Withdraw",-4.01071681599165,-4.01071681599165,"SGD",32,4093.46496303813
3859,"17-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",32,914.780242202714
3860,"17-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",32,910.078985324311
3861,"17-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",32,905.377728445908
3862,"17-Aug-2020",1,"Spend",-17.56,-3.53,"CNY",32,901.842900614781
3863,"17-Aug-2020",1,"Spend",-3.98,-5.56,"USD",32,896.282497856327
3864,"17-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",32,891.581240977924
3865,"17-Aug-2020",1,"Spend",-2.41,-0.48,"CNY",32,891.096644900581
65,"18-Aug-2020",1,"Withdraw",-0.220718479737817,-0.220718479737817,"SGD",33,4093.24424455839
66,"18-Aug-2020",1,"Withdraw",-0.403800107416898,-0.403800107416898,"SGD",33,4092.84044445097
67,"18-Aug-2020",1,"Withdraw",-0.0180714324319633,-0.0180714324319633,"SGD",33,4092.82237301854
3866,"18-Aug-2020",1,"Spend",-0.37,-0.52,"USD",33,890.581397887422
3867,"18-Aug-2020",1,"Spend",-1.14,-0.23,"CNY",33,890.352213238742
3868,"19-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",34,885.650956360339
3869,"19-Aug-2020",1,"Spend",-0.6,-0.84,"USD",34,884.808792996552
3870,"19-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",34,880.107536118149
3871,"19-Aug-2020",1,"Spend",-10.01,-2.02,"CNY",34,878.091326415733
68,"20-Aug-2020",1,"Withdraw",-0.0307633003973876,-0.0307633003973876,"SGD",35,4092.79160971814
69,"20-Aug-2020",1,"Withdraw",-1.53084964254845,-1.53084964254845,"SGD",35,4091.2607600756
70,"20-Aug-2020",1,"Withdraw",-9.88692966636246,-9.88692966636246,"SGD",35,4081.37383040923
71,"20-Aug-2020",1,"Withdraw",-0.0148691172711911,-0.0148691172711911,"SGD",35,4081.35896129196
3872,"20-Aug-2020",1,"Spend",-0.43,-0.6,"USD",35,877.489851632629
3873,"20-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",35,872.788594754226
3874,"20-Aug-2020",1,"Spend",-0.23,-0.32,"USD",35,872.471870152185
3875,"20-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",35,867.770613273782
3876,"20-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",35,863.069356395379
72,"21-Aug-2020",1,"Withdraw",-0.088289966483858,-0.088289966483858,"SGD",36,4081.27067132548
73,"21-Aug-2020",1,"Withdraw",-37.3526891278642,-37.3526891278642,"SGD",36,4043.91798219761
3877,"21-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",36,858.368099516976
3878,"21-Aug-2020",1,"Spend",-7.19,-10.02,"USD",36,848.343666435288
3879,"21-Aug-2020",1,"Spend",-2.52,-3.51,"USD",36,844.832445398869
3880,"21-Aug-2020",1,"Spend",-6.65,-9.27,"USD",36,835.55825975832
3881,"21-Aug-2020",1,"Spend",-0.6,-0.84,"USD",36,834.71674261969
3882,"21-Aug-2020",1,"Spend",-0.48,-0.66,"USD",36,834.051849123557
74,"24-Aug-2020",1,"Withdraw",-0.297626944832474,-0.297626944832474,"SGD",37,4043.62035525278
75,"24-Aug-2020",1,"Withdraw",-1.81414804256914,-1.81414804256914,"SGD",37,4041.80620721021
76,"24-Aug-2020",1,"Withdraw",-6.8511988441686,-6.8511988441686,"SGD",37,4034.95500836604
3883,"24-Aug-2020",1,"Spend",-4.15,-0.84,"CNY",37,833.210941578235
3884,"24-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",37,828.509684699832
3885,"24-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",37,823.808427821429
3886,"24-Aug-2020",1,"Spend",-3.81,-0.77,"CNY",37,823.036539250238
3887,"24-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",37,818.335282371835
3888,"24-Aug-2020",1,"Spend",-4.7,-4.7,"SGD",37,813.634025493432
