Contract Name;Last Trade Date;Strike;Last Price;Bid;Ask;Change;% Change;Volume;Open Interest;Implied Volatility
GOOG191220P01160000;2019009023 1:46PM EDT;1160;25;25;26.3;2.1;0.0775;8;57;0.2376
GOOG191220P01165000;2019009017 3:26PM EDT;1165;31;28.3;32.2;0;0;1;23;0.258
GOOG191220P01170000;2019009013 1:17PM EDT;1170;30.5;30;31.7;0;0;2;130;0.2474
GOOG191220P01175000;2019009017 12:15PM EDT;1175;34.08;31.3;34.5;0;0;10;26;0.252
GOOG191220P01180000;2019009017 2:01PM EDT;1180;35.9;32.8;35.2;0;0;1;48;0.2467
GOOG191220P01185000;2019009017 12:15PM EDT;1185;37.28;33.3;38.3;0;0;10;12;0.2519
GOOG191220P01190000;2019009020 1:36PM EDT;1190;36.7;0;0;0;0;28;150;0.0156
GOOG191220P01195000;2019009013 9:51AM EDT;1195;38.1;37.7;40.3;0;0;1;9;0.2429
GOOG191220P01200000;2019009023 1:58PM EDT;1200;36.9;0;0;0;0;8;50;0.0156
GOOG191220P01205000;2019009020 2:56PM EDT;1205;41.1;0;0;0;0;1;27;0.0078
GOOG191220P01210000;2019009023 9:50AM EDT;1210;42.6;40.3;42.2;3.09;0.0782;3;122;0.2231
GOOG191220P01215000;2019009023 10:09AM EDT;1215;45.1;0;0;0;0;75;93;0.0078
GOOG191220P01220000;2019009023 2:43PM EDT;1220;44.5;0;0;0;0;6;66;0.0039
GOOG191220P01225000;2019009023 10:09AM EDT;1225;49.3;0;0;0;0;2;22;0.0039
GOOG191220P01230000;2019009023 2:43PM EDT;1230;48.6;0;0;0;0;4;34;0.002
GOOG191220P01235000;2019009012 3:46PM EDT;1235;52.08;53;57.8;0;0;4;24;0.2372
GOOG191220P01240000;2019009023 2:37PM EDT;1240;53.6;0;0;0;0;5;49;0
GOOG191220P01245000;2019009020 11:41AM EDT;1245;57.1;0;0;0;0;9;25;0
GOOG191220P01250000;2019009017 10:00AM EDT;1250;63.6;0;0;0;0;2;15;0
GOOG191220P01255000;2019009017 10:00AM EDT;1255;66.1;0;0;0;0;2;26;0
GOOG191220P01260000;2019009003 10:11AM EDT;1260;108.4;65.5;70.3;0;0;4;25;0.231
GOOG191220P01265000;2019009023 11:26AM EDT;1265;66.9;0;0;0;0;2;8;0
GOOG191220P01270000;2019008022 10:38AM EDT;1270;113.5;70.8;76.5;0;0;1;10;0.2314
GOOG191220P01275000;2019009009 10:12AM EDT;1275;88.2;72;80.5;0;0;1;2;0.2351
GOOG191220P01280000;2019008030 12:14PM EDT;1280;116;74.8;82.6;0;0;1;3;0.2304
GOOG191220P01285000;2019009009 3:03PM EDT;1285;107.7;78.7;85.6;0;0;1;2;0.2292
GOOG191220P01290000;2019008026 3:50PM EDT;1290;142.2;81.2;89.9;0;0;1;6;0.2334
GOOG191220P01295000;2019009019 11:05AM EDT;1295;79.3;0;0;0;0;1;7;0
GOOG191220P01300000;2019009016 11:50AM EDT;1300;91.9;0;0;0;0;2;11;0
GOOG191220P01305000;2019008009 1:09PM EDT;1305;135;111.7;120.7;0;0;1;0;0.3233
GOOG191220P01310000;2019008009 10:52AM EDT;1310;135.1;124.6;127.1;0;0;1;0;0.3364
GOOG191220P01315000;2019008030 12:14PM EDT;1315;141.6;99;105.5;0;0;0;2;0.2244
GOOG191220P01320000;2019008021 2:05PM EDT;1320;140.8;101.5;109.5;0;0;1;5;0.2258
GOOG191220P01325000;2019008021 2:05PM EDT;1325;144.7;106.6;112.8;0;0;1;5;0.2235
GOOG191220P01330000;2019006007 10:57AM EDT;1330;172.1;206;214;0;0;1;9;0.6296
GOOG191220P01335000;2019007031 3:27PM EDT;1335;127;151.2;159.6;0;0;3;4;0.4032
GOOG191220P01340000;2019007030 9:59AM EDT;1340;127.6;155.2;164.5;0;0;1;0;0.4094
GOOG191220P01360000;2019006007 10:57AM EDT;1360;126;225;234;0;0;0;1;0.6274
GOOG191220P01400000;2019009016 2:50PM EDT;1400;173.26;168.5;177.7;0;0;1;1;0.2435
GOOG191220P01420000;2019006007 10:57AM EDT;1420;179;284.2;293.5;0;0;0;3;0.7004
GOOG191220P01440000;2019006007 10:57AM EDT;1440;185.8;304.2;313.4;0;0;2;1;0.7237
